system:index,date,mean_ndvi,month,monthly_rainfall,year,.geo
0,2020-01,0.5880135998231711,1.0,76.87681861148744,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2020-02,0.6250459558996203,2.0,42.17629066316641,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2020-03,0.5979793221745971,3.0,100.1784916796123,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2020-04,0.6456833544650464,4.0,180.2258369382694,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2020-05,0.6381441568211453,5.0,36.737394278936215,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2020-06,0.6085572940115447,6.0,28.155561289840655,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2020-07,0.4504463642835934,7.0,14.771678389768848,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2020-08,0.42431522525957904,8.0,56.78819676307229,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2020-09,0.4619645502669139,9.0,96.39607250329065,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2020-10,0.614471656345092,10.0,189.7714606379367,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2020-11,0.570963609733941,11.0,105.49988689378056,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2020-12,0.620766121745518,12.0,136.13790914303988,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-01,0.6752893502259616,1.0,75.1868535387191,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-02,0.5460383136513094,2.0,54.42528593960364,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-03,0.44912692406528304,3.0,93.89944068905629,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-04,0.5954953603488844,4.0,124.51911680500191,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-05,0.5906127283279111,5.0,55.267321816255816,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-06,0.5551485353221013,6.0,16.07921043818907,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-07,0.4644689099616184,7.0,20.214911924525616,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-08,0.4474201232200571,8.0,80.47596003137684,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-09,0.5271829854040481,9.0,94.64079475152876,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-10,0.4838660847921969,10.0,112.40093600232437,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-11,0.6346033297581054,11.0,111.53361082809168,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-12,0.6220790190980708,12.0,115.03821049442101,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-01,0.6247103724109941,1.0,52.19941144066504,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-02,0.487023912805026,2.0,91.81876480705657,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-03,0.4392155890793718,3.0,78.53057991739985,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-04,-9999,4.0,175.35890324109303,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2022-05,0.5100527744497332,5.0,80.10085888153675,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2022-06,0.5174985416104625,6.0,11.817335810039593,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2022-07,0.4654936793937926,7.0,8.708450930392036,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2022-08,0.42851853313066457,8.0,100.49397234132732,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-09,0.587573239326513,9.0,76.7266281885295,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-10,0.478493240737044,10.0,142.2845966539291,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2022-11,0.615127967591092,11.0,134.53286078280024,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2022-12,0.6904810084928777,12.0,107.7297089192051,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-01,0.6815776615645736,1.0,53.086022313705925,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-02,0.5541572580076247,2.0,26.888393883138498,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-03,-9999,3.0,100.90074646614345,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-04,0.5465937354449933,4.0,148.93820717861956,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-05,0.5707592930387632,5.0,63.202392866540734,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-06,0.3980087021611939,6.0,20.4994266850815,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-07,0.46340070719760884,7.0,4.0764580437228535,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-08,0.39221254253364496,8.0,19.034172433203256,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2023-09,0.24164465197556353,9.0,126.9269864251273,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2023-10,0.6294844048884316,10.0,130.1126120696211,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2023-11,-9999,11.0,156.6657681921466,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2023-12,0.5563058326164873,12.0,150.22073526099268,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2024-01,0.4530496988479269,1.0,37.02581791962596,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2024-02,-9999,2.0,49.03470008341319,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2024-03,0.6288888617835046,3.0,68.81074710978267,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2024-04,-9999,4.0,141.25980427486968,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2024-05,0.6109343676638244,5.0,57.28925074412934,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2024-06,0.541399839407365,6.0,11.452675183289925,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2024-07,0.45053894477153555,7.0,29.895473996256424,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2024-08,0.45671992838490433,8.0,51.694362993877526,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2024-09,0.449108627270524,9.0,99.71383030337766,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2024-10,0.5354697068386174,10.0,125.66781980216476,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2024-11,0.6868419186193114,11.0,188.33943498961173,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2024-12,0.6314466944860703,12.0,103.36044314279414,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
